id,text,created_at,user_id,user_name,attitudes_count,comments_count,reposts_count,source
5175968712886342,刷到这条抖音 想起来自己高考那年 妈妈穿着旗袍 爸爸抱着鲜花<br />考完最后一门英语 打铃出考场的瞬间 不管答卷的对错 空气都变得轻盈了<br />小时候以为高考完 人生就在没有难事了 到现在才明白 人生不过是一座一座翻不完的大山 ​​​,Tue Jun 10 12:42:49 +0800 2025,1999242343,悠米碎冰冰,0,1,0,iPhone客户端
5175968549308831,每年高考完这个时候都要说一句，填报志愿看到商务英语就跑吧 ​​​,Tue Jun 10 12:42:10 +0800 2025,7493500594,SOS信号传达,5,8,0,
5175967917277443,10165<br />您的高考成绩出来了<br />——————————<br />语文：0<br />数学：0<br />英语：0<br />物理：0<br />化学：0<br />生物：0<br /><br />以下是加分情况:<br />玩1999当9女厨：+520<br />搞9的gl做9女gl产出：+99<br />是tft铁粉/金粉/钻粉：+131<br /><br />恭喜您高考总分750分！ ​​​,Tue Jun 10 12:39:38 +0800 2025,6232941048,vv要吃太妃糖,22,8,0,
5175967678728772,"🎉🎉高考结束的宝宝‬们看过来啦‼‼‼<br />❓暑假太长在家无聊❓<br />❓未入大学略显焦虑❓<br />❓充实自己无下从‬手❓<br />现限时推出大学生活免费体验活动<br />名额有限 ㊙㊙<br />面向全体高中毕业生🆓<br />闲着也是闲着，不如提前感受大学生活！<br />❌年龄要求<br />❌分数限制<br />⭕人来就‬行<br />⭕️免费欣赏药学生<br />内容<br />•📙【专 ​​​ ...<span class=""expand"">展开</span>",Tue Jun 10 12:38:42 +0800 2025,7322488503,姜姜糖糖_,0,0,0,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/3mr80b"" rel=""nofollow"">nova11系列敢拍敢出色</a>"
5175967447780862,我高考考英语的时候考场里面有一个考生一直在吸鼻涕，我做完型的时候也一直在吸，为什么没有人给他递几张纸，考场的其他考生也没有说话，监考老师也没有说话 ​​​,Tue Jun 10 12:37:47 +0800 2025,7852298239,活着就是为了上班,0,1,0,iPhone客户端
5175967444112244,让我太难做了<br />为什么还要填高考英语成绩！ ​​​,Tue Jun 10 12:37:46 +0800 2025,7928367658,tree雪茉莉,0,1,0,
5175966230905659,"啊！！人家昨天补作业补到凌晨四点多今天头疼得实在受不了了就请假回来了<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />。。。还好下午没啥重要的课<img alt=""[生病]"" title=""[生病]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3b/2018new_shengbing_org.png"" /><img alt=""[生病]"" title=""[生病]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3b/2018new_shengbing_org.png"" />高考假研学三天一直在走路听讲座根本没时间写作业，最后一天极限24h怒补77页物理题➕3张化学卷➕2张数学卷➕一张生物卷。英语作业和语文作业查得不严然后我觉得其实做了也没啥意义 ​​​ ...<span class=""expand"">展开</span>",Tue Jun 10 12:32:57 +0800 2025,6520282893,然而我的停留仅会铸就你的苦难,4,2,0,iPhone客户端
5175965747775554,"<a target=""_blank"" href=""https://weibo.com/p/100808689d4e106745fd7f4ea5b204e4d96857""><img class=""icon-link"" title=""#高考[超话]#"" src=""https://h5.sinaimg.cn/upload/100/959/2020/05/09/timeline_card_small_super_default.png""/>高考超话</a>//<a href=/n/人人英语 usercard=""name=@人人英语"">@人人英语</a> :英式英语和美式英语中日期和年份的表示法<img alt=""[可爱]"" title=""[可爱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/09/2018new_keai_org.png"" />",Tue Jun 10 12:31:02 +0800 2025,2207601654,美剧英语,0,0,0,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/5Xlso4"" rel=""nofollow"">OPPO A7x</a>"
5175965619589154,您的高考成绩出来了<br />​——————————<br />​语文：0<br />​数学：0<br />​英语：0<br />​物理：0<br />​化学：0<br />​生物：0<br />​以下是加分情况:<br />​<br />​乳化+450<br />​乳女+100<br />​乳男+200<br />​总分750<br />​<br />​恭喜您满分考入我的英雄学院！ ​​​,Tue Jun 10 12:30:31 +0800 2025,7939532033,奶大被捏爆,6,5,3,
5175964696054136,"<a target=""_blank"" href=""https://weibo.com/p/100808689d4e106745fd7f4ea5b204e4d96857""><img class=""icon-link"" title=""#高考[超话]#"" src=""https://h5.sinaimg.cn/upload/100/959/2020/05/09/timeline_card_small_super_default.png""/>高考超话</a>//<a href=/n/英语口语表达 usercard=""name=@英语口语表达"">@英语口语表达</a> :如何听懂Native Speaker说的英语？<img alt=""[思考]"" title=""[思考]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/30/2018new_sikao_org.png"" />",Tue Jun 10 12:26:51 +0800 2025,5540330805,图解英语单词,0,0,0,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/SwHe8"" rel=""nofollow"">vivo Y81系列</a>"
