id,text,created_at,user_id,user_name,attitudes_count,comments_count,reposts_count,source,clean_text
5175531381194980,"2025高考必胜   关晓彤当年走出考场第一时间接受了采访，对于分数的预估，神准！凭借552分的高分考入北京电影学院。语文114分，英语126分，数学131分，文综181。关晓彤在明星里面算是学霸级别的了<a href=""//s.weibo.com/weibo?q=%23%E7%83%AD%E7%82%B9%E7%8E%B0%E5%9C%BA%23"" target=""_blank"">#热点现场#</a> <a target=""_blank"" href=""https://video.weibo.com/show?fid=1034:5175413559721996""><img class=""icon-link"" title=""http://t.cn/A6eXofCa"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png""/>娱乐-可爱鬼小组的微博视频</a> ​​​",Mon Jun 09 07:45:00 +0800 2025,2660937495,娱乐-可爱鬼小组,55,6,2,搬运工Android,2025高考必胜 关晓彤当年走出考场第一时间接受了采访对于分数的预估神准凭借552分的高分考入北京电影学院语文114分英语126分数学131分文综181关晓彤在明星里面算是学霸级别的了 娱乐可爱鬼小组的微博视频
5175529784476068,"【<a href=""//s.weibo.com/weibo?q=%23%E6%B2%B3%E5%8D%97%E9%AB%98%E8%80%83%E6%9C%80%E5%90%8E%E4%B8%80%E5%A4%A9%E5%8A%A0%E6%B2%B9%23"" target=""_blank"">#河南高考最后一天加油#</a>】<br />今天是，2025河南<a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%23"" target=""_blank"">#高考#</a>最后一天，08:30-09:45化学、11:00-12:15地理、14:30-15:45思想政治、17:00-18:15生物学。加油，祝每位考生都能金榜题名。<a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E5%8E%86%E5%8F%B2%E4%B8%8A3%E6%AC%A1%E5%90%AF%E7%94%A8%E5%A4%87%E7%94%A8%E5%8D%B7%23"" target=""_blank"">#高考历史上3次启用备用卷#</a> <a target=""_blank"" href=""https://video.weibo.com/show?fid=1034:5175528513273987""><img class=""icon-link"" title=""http://t.cn/A6eXSEHF"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png""/>大河报的微博视频</a> ​​​",Mon Jun 09 07:38:40 +0800 2025,1734530730,大河报,40,7,2,"<a target=""_blank"" href=""https://t.sina.com.cn"" rel=""nofollow"">微博视频号</a>",今天是2025河南最后一天08300945化学11001215地理14301545思想政治17001815生物学加油祝每位考生都能金榜题名 大河报的微博视频
5175527012304667,"<a href=""//s.weibo.com/weibo?q=%232025%E5%B9%B4%E9%AB%98%E8%80%83%E6%88%90%E7%BB%A9%E6%9F%A5%E8%AF%A2%E6%97%B6%E9%97%B4%23"" target=""_blank"">#2025年高考成绩查询时间#</a>】高考成绩查询时间集中在6月23日-25日。目前，已有部分省份公布了高考成绩查询时间，比如，湖南、湖北、吉林、江西等地，预计在6月25日左右公布高考成绩。<a target=""_blank"" href=""https://weibo.com/p/100808689d4e106745fd7f4ea5b204e4d96857""><img class=""icon-link"" title=""#高考[超话]#"" src=""https://h5.sinaimg.cn/upload/100/959/2020/05/09/timeline_card_small_super_default.png""/>高考超话</a><a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E8%8B%B1%E8%AF%AD%23"" target=""_blank"">#高考英语#</a>视频来源：央视网 <a target=""_blank"" href=""https://video.weibo.com/show?fid=1034:5175526944604197""><img class=""icon-link"" title=""http://t.cn/A6eXanR4"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png""/>红名777的微博视频</a> ​​​",Mon Jun 09 07:27:39 +0800 2025,3535387140,红名777,6,2,0,,高考成绩查询时间集中在6月23日25日目前已有部分省份公布了高考成绩查询时间比如湖南湖北吉林江西等地预计在6月25日左右公布高考成绩高考超话视频来源央视网 红名777的微博视频
5175525664621010,"<a target=""_blank"" href=""https://weibo.com/p/100808ee54423c82f29475966b57fa32c28765""><img class=""icon-link"" title=""#随手拍微博[超话]#"" src=""https://h5.sinaimg.cn/upload/100/959/2020/05/09/timeline_card_small_super_default.png""/>随手拍微博超话</a> 【转发提醒！<a href=""//s.weibo.com/weibo?q=%232025%E9%AB%98%E8%80%83%E6%88%90%E7%BB%A9%E6%9F%A5%E8%AF%A2%E6%97%B6%E9%97%B4%23"" target=""_blank"">#2025高考成绩查询时间#</a>】按照往年惯例，高考成绩查询时间集中在6月23日-25日。目前，已有部分省份公布了高考成绩查询时间，比如，湖南、湖北、吉林、江西等地，预计在6月25日左右公布高考成绩。<a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E8%8B%B1%E8%AF%AD%23"" target=""_blank"">#高考英语#</a>（央视）<a target=""_blank"" href=""https://video.weibo.com/show?fid=1034:5175310157807683""><img class=""icon-link"" title=""http://t.cn/A6e6P1hk"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png""/>央视新闻的微博视频</a> ​​​",Mon Jun 09 07:22:18 +0800 2025,2553794882,Awah中华號,0,0,0,Android,随手拍微博超话 转发提醒按照往年惯例高考成绩查询时间集中在6月23日25日目前已有部分省份公布了高考成绩查询时间比如湖南湖北吉林江西等地预计在6月25日左右公布高考成绩央视央视新闻的微博视频
5175524364124328,"2025高考英语答案试卷一 <a target=""_blank"" href=""https://video.weibo.com/show?fid=1034:5175524277026862""><img class=""icon-link"" title=""http://t.cn/A6eXXu5X"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png""/>猴哥英语的微博视频</a> ​​​",Mon Jun 09 07:17:08 +0800 2025,1423075353,猴哥英语,217,32,14,"<a target=""_blank"" href=""https://t.sina.com.cn"" rel=""nofollow"">微博视频号</a>",2025高考英语答案试卷一 猴哥英语的微博视频
5175523556460076,"<a target=""_blank"" href=""https://weibo.com/p/100808689d4e106745fd7f4ea5b204e4d96857""><img class=""icon-link"" title=""#高考[超话]#"" src=""https://h5.sinaimg.cn/upload/100/959/2020/05/09/timeline_card_small_super_default.png""/>高考超话</a><a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E5%8A%A0%E6%B2%B9%23"" target=""_blank"">#高考加油#</a><a href=""//s.weibo.com/weibo?q=%232025%E9%AB%98%E8%80%83%23"" target=""_blank"">#2025高考#</a>我祝2025高考考生：金榜题名！顺利上岸！高考加油！<a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E6%97%B6%E9%97%B4%23"" target=""_blank"">#高考时间#</a><a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E8%8B%B1%E8%AF%AD%E4%BD%9C%E6%96%87%23"" target=""_blank"">#高考英语作文#</a><a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E6%97%A5%E8%AF%AD%23"" target=""_blank"">#高考日语#</a> ​​​",Mon Jun 09 07:13:55 +0800 2025,7972440542,卡布-馠琻岹,0,0,0,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/2lBOft"" rel=""nofollow"">vivo Y300 Pro</a>",高考超话我祝2025高考考生金榜题名顺利上岸高考加油
5175522619293946,"2025高考英语结束，你们感觉英语作文难不难！！！！！ <a target=""_blank"" href=""https://video.weibo.com/show?fid=1034:5175522489991178""><img class=""icon-link"" title=""http://t.cn/A6eXXyEo"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png""/>枫桥霖的微博视频</a> ​​​",Mon Jun 09 07:10:12 +0800 2025,7808375621,枫桥霖,102,0,0,"<a target=""_blank"" href=""https://t.sina.com.cn"" rel=""nofollow"">微博视频号</a>",2025高考英语结束你们感觉英语作文难不难 枫桥霖的微博视频
5175520306397353,"<a href=""//s.weibo.com/weibo?q=%23%E5%8E%9F%E6%9D%A5%E9%AB%98%E8%80%83%E5%B7%B2%E7%BB%8F%E5%8F%98%E6%88%90%E4%BA%86%E4%B8%89%E5%A4%A9%E4%BA%86%23"" target=""_blank"">#原来高考已经变成了三天了#</a><br /><br />高考从传统的两天考试模式逐渐转变为三天甚至四天的考试，这一变化主要发生在新高考改革地区。具体时间线如下：<br /><br />· 2024年，部分地区开始实行三天高考，传统地区仍维持两天。<br />· 2025年，全国普通高考开始普遍采用三天考试模式，从6月7日开始。<br />· 例如，陕西从2023年开始实 ​​​ ...<span class=""expand"">展开</span>",Mon Jun 09 07:01:00 +0800 2025,7731797823,第二片_海,10,5,0,,高考从传统的两天考试模式逐渐转变为三天甚至四天的考试这一变化主要发生在新高考改革地区具体时间线如下 2024年部分地区开始实行三天高考传统地区仍维持两天 2025年全国普通高考开始普遍采用三天考试模式从6月7日开始 例如陕西从2023年开始实 展开
5175520191841127,"2025高考英语结束，你们感觉英语作文难不难！~~！！！ <a target=""_blank"" href=""https://video.weibo.com/show?fid=1034:5175520078266395""><img class=""icon-link"" title=""http://t.cn/A6eX6V8k"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png""/>杨枝泡梅梅的微博视频</a> ​​​",Mon Jun 09 07:00:33 +0800 2025,7490928282,杨枝泡梅梅,102,0,0,"<a target=""_blank"" href=""https://t.sina.com.cn"" rel=""nofollow"">微博视频号</a>",2025高考英语结束你们感觉英语作文难不难 杨枝泡梅梅的微博视频
5175520058671340,"<a href=""//s.weibo.com/weibo?q=%23%E6%9D%8E%E5%8D%8E%23"" target=""_blank"">#李华#</a>2025年高考英语里出现了“李华”。6月8日北京高考英语作文中，李华再次成为主角。作为高考英语作文常客，李华频繁现身各类作文题目，引发考生与网友关注，成为高考英语一大特色。 ​​​",Mon Jun 09 07:00:01 +0800 2025,1400652955,funny-6,0,1,0,冒牌iPhone客户端,2025年高考英语里出现了李华6月8日北京高考英语作文中李华再次成为主角作为高考英语作文常客李华频繁现身各类作文题目引发考生与网友关注成为高考英语一大特色
